name,creature_summary,name_family,level
Aapoph Serpentfolk,"Aapophs possess greater strength and stronger venom than their zyss kin, but they lack zyss' intelligence and innate magic. Unlike their selfish superiors, aapophs are communal and group together to hunt, wrestle, and sleep curled together in pits. Though they're looked down upon and insulted by zyss, most aapophs lack the higher brain functions to recognize when they're being insulted, much less plan or execute a rebellion. Aapophs often have unusual physical mutations—horns, vestigial tails, or spines protruding from their scales—yet these variations have little impact on their overall combat prowess— and combat prowess is the measure by which zyss judge them.",Serpentfolk,3
Aasimar Redeemer,"Mortals whose ancestry has been influenced by celestials are known as aasimars, and angelkin, who have blood of angels coursing through their veins, are among the most common type of them. Many angelkin seek adventure as a means of doing good in the world.",Planar Scion,5
Abandoned Zealot,"Once devout followers whose faith proved false, abandoned zealots return from the doorstep of the afterlife after being denied the eternal reward they expected. Consumed by self-loathing for the lives they squandered to false faiths and empty creeds, these lost souls serve as terrifying and implacable—yet ultimately pathetic—foes. A shapeless mass of smoke and shadow coils behind their broken masks. As abandoned zealots move, they spit and shriek a hateful cacophony of bitter lamentations and anguished weeping. Abandoned zealots are most commonly associated with the church of Razmir, which upholds a mortal wizard as a god—a truth unknown to most worshippers. However, abandoned zealots might arise from a true religion if they've been misled about that faith's true tenets or aims. This situation could easily result from the cruel schemes and predations of sinister beings, such as shrine skelms and the blasphemous devils known as deimavigga.",,6
Abrikandilu,"Wrecker demons, also known as abrikandilus, despise beautiful things and do everything in their power to destroy both people and objects regarded as such. An abrikandilu forms from the souls mortals who were vandals, misanthropes, or defacers of artwork, particularly if their destructive actions stemmed from feelings of powerful envy. An abrikandilu loathes only one thing more than beauty: their own visage. The mere sight of their face—reflected in a mirror, a shield, or even a pool of water— can send a wrecker demon into a rage. Many demon slayers leverage tactic to their advantage, venturing into battle with polished steel shields and cold iron blades at the ready.",Demon,4
Abysium Horror,"A monstrous spider-like creature composed of the radioactive skymetal abysium, this deadly predator contaminates anything it touches.","Elemental, Metal",10
Acolyte of Nethys,"Underling clerics are still learning the tenets of their faith and answer to a superior priest. Their days are spent in devotion and learning, sequestered in temples.",Devotees,1
Acrobat,"Acrobats perform feats of agility, balance, and strength. The acrobat is a 5th-level challenge for contests of acrobatics and the like.",Performers,2
Adachros,"When a nascent demiplane fails to coalesce, its quintessence sometimes collapses into an adachros, a dangerous entity that combines overwhelming mental potential with no exposure to alternate viewpoints. Some of these megalomaniacal beings are tyrants, creating illusory kingdoms populated by abducted creatures forced to validate the creator's views. A more altruistic adachros might seek out pupils to reeducate and advise—though often without their consent—while always pushing their students to accept whatever unique philosophy was involved in their creation. An adachros might abandon disciples who spurn them, but more often, they become a bitter enemy, intent on destroying the perceived heretics.",Ennosite,13
Adamantine Golem,"Crafted from a nigh-indestructible metal of great rarity, adamantine golems can’t be destroyed except by the most powerful foes. Crafting an adamantine golem requires a quantity of adamantine so massive that collecting it usually requires mounting a mining expedition to a distant planet, the Plane of Earth, or an Outer Plane.",Golem,18
Adept,Adepts have unlocked only the most minor occult mysteries of the universe. A few are chosen by accomplished practitioners for further training. Others volunteer to join a cabal by passing an initiation ritual.,Mystics,-1
Adhukait,"Twice as disciplined as a monk and twice as deadly as a warrior, an adhukait is the ultimate perversion of duality, two spiked asura warriors impaled together to form one ferocious, incredibly efficient killing machine. An adhukait's two heads, two hearts, and two minds rarely work as one—except to maim or kill. Even adhukaits' origin contains not one but two stories. Some believe they were created when two godlike brigands attempted to raid a celestial hall and had their bodies crushed together and thrown down from the heavens. Another legend states two asura twins once challenged a great warrior to duel them in turn. When they attacked him together, he was so enraged he slammed one into the other so hard that they were fused together from that day forth. Adhukaits are among the most elite asura warriors, making up for what they lack in spellcraft with sheer viciousness and single-minded pursuit of inflicting pain.",Asura,7
Adlet,"Adlets dwell in the farthest, harshest reaches of the Crown of the World. At first glance, these isolated people look much like their Erutaki human cousins; they typically have terra-cotta skin, straight black hair, and compact, powerful builds. However, adlets tend to be taller and more sinewy than their human kin. Up close, adlets' strangeness reveals itself—each sports a maw full of wolflike teeth. Their legs and tail resemble that of a dog. Adlets' legends say that long ago, a mighty hunter lost his way far from home and came upon a house of whalebone and ice. A woman dressed in white fox furs greeted him, fed him, and tended to his frostbite. In time, they married and had 10 children, five of whom bore the legs and tails of foxes. These children stayed with their mother, while the other five—born with the legs and tails of wolves— traveled with their father back to the human lands and became the first adlets. Adlets aren't inherently evil, but their culture is warlike, xenophobic, and noticeably lacking in humility. They see themselves as the natural rulers of the arctic wastes and view everyone else as squatters at best and invaders at worst. A typical adlet is stronger and faster than any mundane human, with the ability to walk naked in a blizzard and call up ice-cold mists. Given that, it's little wonder that adlets have developed something of a superiority complex. Still, while adlet raids are a common problem for travelers in the Crown of the World, a handful of wily and intrepid merchants have forged peaceful relations with certain adlet communities along more common routes.",,10
Adult Black Dragon,"Murderous tyrants of marshes, swamps, bogs, and fens, black dragons terrorize their domains with intense fervor. Gleefully sadistic, they rule their fetid principalities from a deep cave or otherwise isolated part of the swamp with a mix of lightning-quick raids and subterfuge. Their hatred for other creatures is as acidic as their breath weapons, and they rarely tolerate even other dragons of their kind—except perhaps to mate or temporarily collaborate to take down a mutual enemy. Black dragons are amphibious—although they breathe air, their gills also allow them to breathe water. Their frills and fins make them accomplished swimmers, well suited to their wetland environments and submerged lairs. They’re immune to the fetid water that comes as a result of their magical ability to corrupt water. Black dragon lairs are as foul as their souls. The floors are littered with rotting meat, and plundered treasures line the muck and slime of their dank caves amid twisted roots and creepers. Such places are often crawling with pests, snakes, and slimes. Though they claim natural caverns when they can, they make do with areas of dense, twisted vegetation within a swamp. Black dragon treasure hoards primarily consist of gems and expensive glass work, as valuables of softer substance can’t survive the dragon’s acidic presence.","Dragon, Black",11
Adult Blue Dragon,"Blue dragons are the sleek and poised cosmopolitans of the chromatic dragons. Their brand of evil is organized, manipulative, and regal. Blue dragons often lair near or within cities and set out to bend the population to their will and gather hordes of servants. These dragons love spinning webs of conspiracy. A blue dragon’s lackeys typically don’t even realize that they serve a dragon, but instead think the protection money, tariffs, or taxes they are amassing is treasure for a cruel but legitimate master. In some ways, blue dragons even see their servants as a living hoard and value them like treasure. These dragons have been known to use these tactics even with their own chromatic cousins. Not all blue dragons work clandestinely. Some lord over desert tribes and hill people like vengeful gods, demanding both tribute and worship. No matter how blue dragons manage their underlings, their bearing is regal and their lairs palatial; they’re universally intolerant of insubordination, incompetence, and embezzlement, and punish perpetrators with murderous efficiency. Blue dragons are also known for their use and mastery of illusion magic. They make use of illusions to augment their manipulations and bewilder their foes in battle. Blue dragons also have some control over water, but use this ability to destroy water, something quite dangerous for those who encounter them in their desert lairs. The ideal lair for a blue dragon contains multiple passages, rooms, and secret chambers. As social creatures, blue dragons prefer to host guests in comfort—but their dwellings should not be so public that just anyone can come calling. A force of guards keeps out intruders, and clever illusions conceal the edifice from prying eyes. Rather than a pile of coins or gems, a blue dragon’s true hoard is the rich furnishings in its citadel— expensive art, ornate furniture, and architectural marvels.","Dragon, Blue",13
Adult Brass Dragon,"Brass dragons are whimsical tricksters who delight in humor and play. They particularly enjoy conversations with humans and other civilized humanoids, delighting in the naive customs of these diminutive races without showing them haughtiness or scorn. While they may seem merely curious, brass dragons engage in this sort of conversation with the goal of keeping up to date on regional politics so they can anticipate future conflicts. Along the way, they create extensive information networks that begin with their own allies but stretch across all levels of humanoid society—networks which the brass dragon then uses to subtly assist settlements near their lair. Unlike the schemes and manipulations of blue dragons, brass dragons use their informant networks to establish justice and equality. These carefree dragons value independence and feel that all creatures deserve to live as they please, provided they don’t harm others. They are emotional creatures and tend to have short attention spans, sometimes falling victim to depression in their twilight years. To combat this, some brass dragons keep pets and houseplants that they can care for. Though they may seem childlike in their curiosity concerning mortal affairs, a brass dragon’s prowess in battle is no laughing matter. A brass dragon whose territory or allies are threatened is a terrifying foe indeed, quick to shed their innocent guise and unleash their terrifying might upon evildoers. Most brass dragons live in desert climates, and while they keep their lairs hidden, they often build near humanoid settlements.","Dragon, Brass",11
Adult Brine Dragon,"Brine dragons are usually blue-green in color, with shiny scales, crests that help them glide through the water, and sweeping neck frills. They care little for either good or evil. As they are both opinionated and willing to impose their sense of order on others, many brine dragons eventually seek to rule over a meticulously crafted community. These communities are orderly and well-planned, with rigid standards of courtesy and unchanging laws set down by the dragon themself. A settlement seeded by a brine dragon can be made of members of almost any ancestry, but the most common inhabitants are humans, merfolk, tengus, or sahuagin.Depending on the dragon's personality, their community members might view their brine dragon ruler as anything from a benevolent force of order to a fearful tyrant. Regardless, the typical brine dragon has little patience for kindness or philanthropy, and the strength and health of their settlement as a whole are of greater concern than individuals' well-being. A notable exception to this dispassion rises when an outside force encroaches on their lands. In these cases, the brine dragon is quick to step in and aid in the defense of their community.Although brine dragons enjoy cultivating settlements, they rarely make their lairs within the city limits, instead preferring to dwell in sea caves or cliffside grottoes overlooking the coastline. Here they can retreat for privacy as needed, or can accumulate and display their gathered wealth in a place where they feel safe spreading out their treasures. Brine dragon hoards often consist of a mix of offerings and taxes paid by those they rule over and strange discoveries salvaged from sunken ships.","Dragon, Brine",12
Adult Bronze Dragon,"Bronze dragons are among the most common of metallic dragons and the most likely to ally with mortals on worthy quests. However, they are naturally scholarly creatures who would rather remain in their lairs studying esoteric lore than go off on a wild adventure. These aloof and stoic dragons also act as preservationists, guarding storehouses of ancient lore from destruction or perversion. Bronze dragons are principled and protective, but while their silver cousins are quick to crusade for justice, bronze dragons prefer to find an important location worthy of their protection and guard it against any attack or unwelcome intrusion. Bronze dragons’ mastery over water and affinity for electricity means they are a boon to sailors caught in thunderstorms. A bronze dragon’s enemies quickly discover neither cloudy sky nor turbulent sea provides shelter from their wrath. Bronze dragons lair along shorelines, often in partially submerged sea caves. While all dragons keep hoards of treasure, the hoard of a bronze dragon more resembles a vast library—with the shelves kept carefully above the waterline, of course. In addition to their collections of esoteric lore, bronze dragons keep treasures associated with the sea, such as beautiful scrimshaw, flawless pearls, and equipment inlaid with mother-of-pearl and abalone shell.","Dragon, Bronze",13
Adult Cloud Dragon,"At heart, cloud dragons are wanderers, explorers, and travelers who enjoy nothing more than seeing new lands and meeting unusual creatures. Cloud dragons range in color from light blue to a pale, milky white and have thick, curling horns and rather short snouts. They keep lairs among the extreme altitudes of the highest mountain peaks but are away on their many journeys as often as they're at home. Cloud dragons spend long hours surveying the lands they fly over from great heights, but they are creatures of whim, making it hard to predict what will pique their curiosity and bring them winging down to converse or investigate something on the ground. Cloud dragons seldom perform acts of outright malice, but they are not often charitable either. A cloud dragon is as likely to simply pluck something they desire off the ground and fly away with it as they are to bargain fairly.A cloud dragon's ever-changing interests never seem to stray toward the complicated schemes and long-term plans of other dragons. These rovers are creatures of the moment, and although they are as mentally gifted as other true dragons, their interests remain in the here and now. Yet the cloud dragon's penchant for living in the moment is not a personality flaw—they're more than capable of anticipating long-term results of their actions and won't make foolish choices simply to pursue a current interest. At the same time, cloud dragons have little interest in worrying about the future and are as confident in their ability to handle tomorrow's problems as they are today's.Cloud dragon hoards tend to be well-guarded or well-hidden, as a natural result of their roving habits often taking them away from their lairs for extended periods. Their treasuries include a wide variety of items—they are driven to gather a broad range of prizes rather than collecting one type of item intensively. To a cloud dragon, a diversified hoard is a perfect hoard.","Dragon, Cloud",14
Adult Copper Dragon,"Capricious and always eager to share a good laugh, copper dragons are among the wiliest of the metallic dragons, but this by no means interferes with their mission to spread freedom in oppressive lands. Copper dragons are hedonists who are quick to indulge in simple pleasures, but they’re also sympathetic to other creatures, slow to pass judgment, and careful to always examine a situation from as many perspectives as possible. This philosophy has its drawbacks, however, as copper dragons are susceptible to negative influences and prone to forgiving the less serious evil acts performed by their chromatic cousins and other cruel creatures. Copper dragons also have a difficult time keeping their temper in check once they are roused to anger. Copper dragons tend to lair in warm or temperate hills, but due to their nature, they move their lairs every few years. They sometimes live among other people, especially any dwarves who reside nearby. Some copper dragons even worship gods typically worshipped only by humanoids. Among these dragons, worship of Cayden Cailean is most popular, as they see his love of freedom and penchant for alcohol aligning with the typical copper dragon mindset. A copper dragon’s combat tactics are as unorthodox as its sense of humor, as it is more likely to use mockery and tricks than outright strength to win its battles. As a copper dragon ages, it perfects jokes capable of rendering its foes helpless with laughter.","Dragon, Copper",12
Adult Crystal Dragon,"Good-natured but vain, crystal dragons are beautiful creatures with brilliant hides made of multicolored crystal and gemstone. Their beauty is a source of great pride but is also something of a weakness, as crystal dragons are easily angered by insults about their appearance. Despite their relatively benign natures when compared to other true dragons, crystal dragons can be short tempered and prone to finding insults where none were intended. Although their opinions are changeable, crystal dragons prefer orderly environments and are not fond of sudden interruptions or distractions.Crystal dragons build their lairs in underground grottoes, where they cultivate environments of great beauty. Their exacting standards and vivid imaginations mean that they are always working to improve the appearance or layout of some part of their lair. These lairs are unique to each individual crystal dragon, but there are always plenty of reflective surfaces that allow the dragon to observe their own appearance. These range from crystals to reflecting pools to finely crafted mirrors, which are arranged throughout the lair in a pleasing array. Gifts of well-crafted or magical mirrors are an excellent way to curry favor with a crystal dragon.Although crystal dragons are easily distracted by their sparkling collections or their vanity, they remain good-hearted creatures at the core and make friends quickly. While a crystal dragon tends to find evil creatures uncouth and unpleasant, any other nearby denizen or inhabitant of their home could become fast friends or beloved pets, depending upon the creature's capacity for conversation (and for providing the frequent praise and compliments that crystal dragons hunger for).","Dragon, Crystal",11
Adult Forest Dragon,"Forest dragons oversee the endless growth of nature, protect it from plunder, and reclaim ruins for the wilderness. Some say these dragons jealously hoard nature's bounty for themselves while seeing everyone else who tries to benefit from nature as thieves and poachers. They loathe the progress of technology and civilization, preferring the company of monsters and animals. Forest dragons are their forests in a literal sense. Over time, their hair becomes mossy, their hide toughens like bark, and small insects or animals live within them. ","Dragon, Forest",14
