|Name|Creature family|Source|Rarity|Size|Alignment|Trait|Level|Hp|Ac|Fortitude|Reflex|Will|Perception|Sense|Speed|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|[Aapoph Serpentfolk](https://2e.aonprd.com/Monsters.aspx?ID=799)|[Serpentfolk](https://2e.aonprd.com/MonsterFamilies.aspx?ID=151)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 238<br><br>2.0|Uncommon|Medium|CE|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Mutant](https://2e.aonprd.com/Traits.aspx?ID=229), [Serpentfolk](https://2e.aonprd.com/Traits.aspx?ID=307), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|3|60|18|+10|+7|+6|+8|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|25 feet|
|[Aasimar Redeemer](https://2e.aonprd.com/Monsters.aspx?ID=333)|[Planar Scion](https://2e.aonprd.com/MonsterFamilies.aspx?ID=81)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 263|Common|Medium|NG|[Aasimar](https://2e.aonprd.com/Traits.aspx?ID=256), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|5|73|23|+12|+8|+11|+11|darkvision|20 feet|
|[Abandoned Zealot](https://2e.aonprd.com/Monsters.aspx?ID=1033)||[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 8|Common|Medium|CE|[Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Spirit](https://2e.aonprd.com/Traits.aspx?ID=149), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|6|75 ( negative healing )|22|+10|+14|+16|+14|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [lifesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=21) 60 feet, sense apostate|fly 40 feet|
|[Abberton Ruffian](https://2e.aonprd.com/NPCs.aspx?ID=1995)||[Pathfinder #151: The Show Must Go On](https://2e.aonprd.com/Sources.aspx?ID=21) pg. 9|Common|Medium|NE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|-1|8|13|+5|+5|+2|+4||25 feet|
|[Abendego Brute](https://2e.aonprd.com/NPCs.aspx?ID=1686)||[Pathfinder #171: Hurricane's Howl](https://2e.aonprd.com/Sources.aspx?ID=101) pg. 37|Common|Medium|NE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|8|135|27|+19|+15|+14|+15||25 feet|
|[Abendego Jailer](https://2e.aonprd.com/NPCs.aspx?ID=1687)||[Pathfinder #171: Hurricane's Howl](https://2e.aonprd.com/Sources.aspx?ID=101) pg. 42|Common|Medium|NE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|10|175|30|+20|+21|+17|+19||20 feet|
|[Abendego Priest](https://2e.aonprd.com/NPCs.aspx?ID=1689)||[Pathfinder #171: Hurricane's Howl](https://2e.aonprd.com/Sources.aspx?ID=101) pg. 46|Common|Medium|NE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|11|175|30|+20|+21|+17|+22||25 feet|
|[Abrikandilu](https://2e.aonprd.com/Monsters.aspx?ID=1110)|[Demon](https://2e.aonprd.com/MonsterFamilies.aspx?ID=28)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 61, [Pathfinder #151: The Show Must Go On](https://2e.aonprd.com/Sources.aspx?ID=21) pg. 81|Common|Medium|CE|[Demon](https://2e.aonprd.com/Traits.aspx?ID=42), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70)|4|70|19|+15|+9|+7|+10|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Abysium Horror](https://2e.aonprd.com/Monsters.aspx?ID=2652)|[Elemental, Metal](https://2e.aonprd.com/MonsterFamilies.aspx?ID=343)|[Rage of Elements](https://2e.aonprd.com/Sources.aspx?ID=205) pg. 158|Common|Huge||[Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Metal](https://2e.aonprd.com/Traits.aspx?ID=505)|10|215|29|+21|+19|+17|+17|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, climb 20 feet|
